kicid,period,t0,depth,secondary,quality,type,comments
EPIC 201146489,21.424595040563418,18.52482951035313,5.931646710535624,y,good,giant,not target star
EPIC 201155177,6.6852651781442205,2.8493246521231868,1.287316449064862,n,good,giant,
EPIC 201205469,3.4722789537173684,1.1383254826625642,4.19617437426104,n,good,giant,next to detector artifact
EPIC 201270176,6.311639165782201,1.8942702117335868,7.129597807089541,y,bad,F/G/K,way saturated; probably binary with period/2
EPIC 201295312,5.6543910207298165,5.355107007481459,0.26172388668836094,n,good,F/G/K,transit times similar to 201549860 and 201549997
EPIC 201306196,3.628545353202151,1.9057219579527551,3.0474939665848195,y,ok,giant,probably binary with period*2
EPIC 201345483,3.4580112804020446,0.2798767115929657,18.96242307096413,y,ok,giant,binary or planet with period/2
EPIC 201359834,40.129123757915586,39.33538703401069,11.489469458796613,n,good,M?,from Montet;also on proposal for giants
EPIC 201367065,10.055327002604459,9.568358661401128,1.2354032305420606,n,good,M,multi from Crossfield et al.
EPIC 201367065,24.647307334748106,7.477864392026504,0.792818431737169,n,good,M,multi from Crossfield et al.
EPIC 201367065,44.5509253328677,32.99673652569638,0.5433834721499976,n,good,M,multi from Crossfield et al.
EPIC 201445392,10.351576376636384,3.461119093700571,1.202166780640457,n,good,giant,multi in 2/1; possible V
EPIC 201445392,5.064647588071458,4.849647683381297,0.8474045504709299,n,good,giant,multi in 2/1; possible V
EPIC 201464977,15.890979804672162,6.040219728479899,8.108325817793004,y,good,giant,
EPIC 201465501,18.453270230474615,15.162780651716261,2.8478984049700227,n,ok,M,possible V; from Montet
EPIC 201488365,6.7330635677114765,3.041396053763359,4.9072815314143705,y,good,?,very saturated; known eclipsing binary
EPIC 201525613,17.681699623421007,5.587093348722135,19.757934976325366,n,good,?,not target star
EPIC 201546283,6.772238495533509,2.3436884057778897,2.3367288623532425,n,good,F/G/K,
EPIC 201549860,5.6094172102860576,4.592856823057787,0.6568221610388193,n,good,?,same sig. as 201549997 but around a 3rd star
EPIC 201549997,5.6062648392905166,0.1212265741975651,0.9049796388532473,n,good,?,same sig. as 201549860 but around a 3rd star
EPIC 201565013,8.638053613865342,0.32341773733666557,19.29625838977246,n,good,M,from Montet
EPIC 201577035,19.2981482747962,18.176205072350022,1.52377200041891,n,good,F/G/K,
EPIC 201613023,8.281531008368246,3.101540171864242,0.34986600472331925,n,ok,F/G/K,possible varying transit depth
EPIC 201635569,8.365676813531985,4.16296731895148,8.152059539168793,n,good,M,from Montet
EPIC 201763507,11.23258268024074,4.652533238567457,1.6884937037352872,y,good,F/G/K,
EPIC 201828749,33.5115494227303,2.9810352307875405,0.6524709036950079,n,good,F/G/K,exciting?
EPIC 201912552,32.9883461708424,23.86143678070576,2.289807993686278,n,good,M,
